"time","logret"
"1997-1",NA
"1997-2",0.0781012574543052
"1997-3",-0.0640368483808746
"1997-4",-0.499768350395718
"1998-1",0.247514267230633
"1998-2",-0.424752190828688
"1998-3",-0.0867268752009274
"1998-4",0.385953367210449
"1999-1",0.187675918573037
"1999-2",0.326800862854492
"1999-3",0.1457674823175
"1999-4",0.0408695190672024
"2000-1",-0.0820062141779614
"2000-2",-0.144686893751731
"2000-3",-0.126468367021213
"2000-4",-0.272868939825782
"2001-1",0.117700880157789
"2001-2",0.0373458014036929
"2001-3",-0.130480629906101
"2001-4",0.180080282335148
"2002-1",0.272817961097568
"2002-2",-0.0339261861201221
"2002-3",-0.125390760334374
"2002-4",-0.0435566213068093
"2003-1",-0.166380833666944
"2003-2",0.110888400391511
"2003-3",0.131688232916036
"2003-4",0.0960173461838982
"2004-1",0.0892974856483448
"2004-2",-0.0631813148458349
"2004-3",-0.032519383779186
"2004-4",0.0943217156361218
"2005-1",0.109165718289077
"2005-2",-0.00692142135936002
"2005-3",0.167219647489313
"2005-4",0.115786617863572
"2006-1",0.0743757757394574
"2006-2",-0.0241179802155456
"2006-3",-0.00263453728310381
"2006-4",0.0507185352029076
"2007-1",-0.000260006099789045
"2007-2",0.16455403351841
"2007-3",0.142935324687573
"2007-4",0.0197907323025248
"2008-1",-0.152046831848162
"2008-2",0.0600833066572326
"2008-3",-0.169705511693561
"2008-4",-0.309806203414961
"2009-1",0.0349331295080058
"2009-2",0.191421099818473
"2009-3",0.148857404279521
"2009-4",-0.000667956968579908
"2010-1",0.0145847849234855
"2010-2",0.0383641003629611
"2010-3",0.0562103351049856
"2010-4",0.0827495079012497
"2011-1",0.0463765240020653
"2011-2",0.0509685052727518
"2011-3",-0.106915254320358
"2011-4",-0.0353200964551119
"2012-1",0.0721755073838697
"2012-2",-0.0549148839522307
"2012-3",0.0181199937263266
"2012-4",0.0100970034600421
"2013-1",0.0255705999721467
"2013-2",-0.0279167215093228
"2013-3",0.00154813256393016
"2013-4",0.041763416986905
"2014-1",-0.0299445789588493
"2014-2",0.00880020444520468
"2014-3",0.0339516150870152
"2014-4",-0.050561471251255
"2015-1",0.0194803949156626
"2015-2",0.0553465038425713
"2015-3",-0.0623369735566435
"2015-4",0.00810429023320847
"2016-1",-0.026795151492748
"2016-2",0.0209530390982078
"2016-3",0.0243435865478867
"2016-4",-0.0126052227949378
"2017-1",0.0488540168023244
"2017-2",0.0943352224840233
"2017-3",0.0305958364930827
"2017-4",0.0419704932362501
