"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12","1,932.90","1,903.57","1,941.84","1,856.81","9.85M","1.09%"
"Oct 12","1,912.06","1,998.52","2,007.84","1,884.77","10.14M","-4.22%"
"Sep 12","1,996.21","1,909.06","2,012.74","1,873.49","15.07M","4.78%"
"Aug 12","1,905.12","1,870.58","1,964.07","1,843.87","9.80M","1.23%"
"Jul 12","1,881.99","1,864.73","1,896.83","1,758.99","8.28M","1.51%"
"Jun 12","1,854.01","1,832.08","1,908.19","1,776.85","7.46M","0.57%"
"May 12","1,843.47","1,994.17","2,001.11","1,779.47","10.02M","-6.99%"
"Apr 12","1,981.99","2,022.42","2,051.80","1,954.01","10.65M","-1.59%"
"Mar 12","2,014.04","2,041.52","2,057.28","1,966.69","10.43M","-0.80%"
"Feb 12","2,030.25","1,948.57","2,047.43","1,947.46","13.20M","3.81%"
"Jan 12","1,955.79","1,831.69","1,973.35","1,810.48","8.60M","7.12%"
"Dec 11","1,825.74","1,911.50","1,929.18","1,750.60","9.12M","-1.18%"
"Nov 11","1,847.51","1,891.22","1,932.95","1,766.73","7.83M","-3.22%"
"Oct 11","1,909.03","1,683.94","1,963.74","1,658.06","7.31M","7.88%"
"Sep 11","1,769.65","1,887.21","1,928.40","1,644.11","7.69M","-5.88%"
"Aug 11","1,880.11","2,160.09","2,173.28","1,684.68","9.61M","-11.86%"
"Jul 11","2,133.21","2,120.03","2,192.83","2,105.24","6.60M","1.55%"
"Jun 11","2,100.69","2,142.67","2,152.95","2,008.84","5.47M","-1.95%"
"May 11","2,142.47","2,203.09","2,229.09","2,030.68","6.22M","-2.28%"
"Apr 11","2,192.36","2,107.67","2,231.47","2,081.98","7.72M","4.07%"
"Mar 11","2,106.70","1,922.38","2,106.74","1,882.09","6.62M","8.63%"
"Feb 11","1,939.30","2,079.92","2,107.83","1,935.93","5.35M","-6.30%"
"Jan 11","2,069.73","2,063.69","2,121.06","2,054.83","8.11M","0.91%"
"Dec 10","2,051.00","1,907.70","2,052.97","1,904.71","8.71M","7.68%"
"Nov 10","1,904.63","1,889.57","1,976.46","1,875.34","7.62M","1.15%"
"Oct 10","1,882.95","1,872.39","1,924.61","1,837.08","7.76M","0.54%"
"Sep 10","1,872.81","1,751.96","1,873.79","1,748.30","6.30M","7.46%"
"Aug 10","1,742.75","1,771.38","1,797.42","1,716.86","7.27M","-0.94%"
"Jul 10","1,759.33","1,687.00","1,778.72","1,650.30","8.03M","3.59%"
"Jun 10","1,698.29","1,634.55","1,741.48","1,618.57","7.08M","3.48%"
"May 10","1,641.25","1,735.68","1,740.15","1,532.68","7.55M","-5.76%"
"Apr 10","1,741.56","1,695.30","1,757.76","1,695.30","9.28M","2.88%"
"Mar 10","1,692.85","1,612.43","1,705.57","1,608.97","9.18M","6.16%"
"Feb 10","1,594.58","1,603.87","1,631.71","1,548.78","7.21M","-0.49%"
"Jan 10","1,602.43","1,681.71","1,723.22","1,595.39","9.18M","-4.77%"
"Dec 09","1,682.77","1,550.35","1,695.33","1,541.09","7.34M","8.17%"
"Nov 09","1,555.60","1,543.24","1,630.41","1,519.40","5.87M","-1.59%"
"Oct 09","1,580.69","1,680.46","1,685.01","1,564.41","7.68M","-5.53%"
"Sep 09","1,673.14","1,592.29","1,723.17","1,583.11","10.54M","5.11%"
"Aug 09","1,591.85","1,561.94","1,616.29","1,530.65","10.72M","2.22%"
"Jul 09","1,557.29","1,386.33","1,559.07","1,377.60","10.62M","12.03%"
"Jun 09","1,390.07","1,394.92","1,437.76","1,350.31","10.96M","-0.42%"
"May 09","1,395.89","1,386.02","1,436.92","1,315.21","13.55M","1.94%"
"Apr 09","1,369.36","1,214.06","1,377.82","1,201.71","16.10M","13.52%"
"Mar 09","1,206.26","1,044.28","1,256.70","992.69","11.48M","13.47%"
"Feb 09","1,063.03","1,145.87","1,227.73","1,036.67","10.35M","-8.53%"
"Jan 09","1,162.11","1,132.87","1,228.56","1,085.72","7.22M","3.35%"
"Dec 08","1,124.47","1,074.00","1,201.14","997.00","10.41M","4.50%"
"Nov 08","1,076.07","1,117.13","1,217.82","914.02","11.20M","-3.32%"
"Oct 08","1,113.06","1,453.40","1,458.68","892.16","10.08M","-23.13%"
"Sep 08","1,448.06","1,453.14","1,503.83","1,366.88","8.27M","-1.78%"
"Aug 08","1,474.24","1,578.55","1,597.31","1,466.46","4.79M","-7.55%"
"Jul 08","1,594.67","1,675.70","1,681.45","1,488.75","6.81M","-4.79%"
"Jun 08","1,674.92","1,848.30","1,853.50","1,669.69","6.31M","-9.56%"
"May 08","1,852.02","1,851.64","1,901.13","1,791.40","5.92M","1.45%"
"Apr 08","1,825.47","1,701.64","1,831.84","1,694.53","6.13M","7.13%"
"Mar 08","1,703.99","1,676.30","1,709.31","1,537.53","6.08M","-0.45%"
"Feb 08","1,711.62","1,645.05","1,739.60","1,619.65","5.77M","5.35%"
"Jan 08","1,624.68","1,891.45","1,892.50","1,570.87","6.32M","-14.36%"
"Dec 07","1,897.13","1,907.95","1,972.37","1,808.86","5.44M","-0.47%"
"Nov 07","1,906.00","2,085.33","2,085.45","1,745.26","7.37M","-7.69%"
"Oct 07","2,064.85","1,948.78","2,070.86","1,875.23","9.68M","6.08%"
"Sep 07","1,946.48","1,876.92","1,952.39","1,805.88","6.98M","3.91%"
"Aug 07","1,873.24","1,920.07","1,928.64","1,626.87","8.62M","-3.11%"
"Jul 07","1,933.27","1,741.41","2,015.48","1,736.63","10.32M","10.88%"
"Jun 07","1,743.60","1,712.97","1,813.84","1,707.75","10.04M","2.51%"
"May 07","1,700.91","1,550.39","1,702.01","1,546.60","8.74M","10.29%"
"Apr 07","1,542.24","1,456.19","1,565.03","1,452.56","7.85M","6.17%"
"Mar 07","1,452.55","1,407.19","1,459.69","1,375.84","5.81M","2.48%"
"Feb 07","1,417.34","1,367.07","1,471.04","1,362.04","4.38M","4.20%"
"Jan 07","1,360.23","1,438.89","1,439.71","1,345.08","4.24M","-5.17%"
"Dec 06","1,434.46","1,433.40","1,445.51","1,373.03","4.26M","0.16%"
"Nov 06","1,432.21","1,372.03","1,434.85","1,363.71","5.15M","4.96%"
"Oct 06","1,364.55","1,370.27","1,380.91","1,303.62","4.81M","-0.50%"
"Sep 06","1,371.41","1,354.77","1,378.99","1,323.90","5.24M","1.38%"
